           1  0.000000000000000E+000
           2  0.234375000000000     
           3  0.468750000000000     
           4  0.703125000000000     
           5  0.937500000000000     
           6   1.17187500000000     
           7   1.40625000000000     
           8   1.64062500000000     
           9   1.87500000000000     
          10   2.10937500000000     
          11   2.34375000000000     
          12   2.57812500000000     
          13   2.81250000000000     
          14   3.04687500000000     
          15   3.28125000000000     
          16   3.51562500000000     
          17   3.75000000000000     
          18   3.98437500000000     
          19   4.21875000000000     
          20   4.45312500000000     
          21   4.68750000000000     
          22   4.92187500000000     
          23   5.15625000000000     
          24   5.39062500000000     
          25   5.62500000000000     
          26   5.85937500000000     
          27   6.09375000000000     
          28   6.32812500000000     
          29   6.56250000000000     
          30   6.79687500000000     
          31   7.03125000000000     
          32   7.26562500000000     
          33   7.50000000000000     
          34   7.73437500000000     
          35   7.96875000000000     
          36   8.20312500000000     
          37   8.43750000000000     
          38   8.67187500000000     
          39   8.90625000000000     
          40   9.14062500000000     
          41   9.37500000000000     
          42   9.60937500000000     
          43   9.84375000000000     
          44   10.0781250000000     
          45   10.3125000000000     
          46   10.5468750000000     
          47   10.7812500000000     
          48   11.0156250000000     
          49   11.2500000000000     
          50   11.4843750000000     
          51   11.7187500000000     
          52   11.9531250000000     
          53   12.1875000000000     
          54   12.4218750000000     
          55   12.6562500000000     
          56   12.8906250000000     
          57   13.1250000000000     
          58   13.3593750000000     
          59   13.5937500000000     
          60   13.8281250000000     
          61   14.0625000000000     
          62   14.2968750000000     
          63   14.5312500000000     
          64   14.7656250000000     
          65   15.0000000000000     
          66   15.2343750000000     
